City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
346,barah,13.7,30.3667,27.68,30,11,5.25,SD,1699938237
347,hassi messaoud,31.6804,6.0729,12.92,50,0,0.51,DZ,1699938071
348,sumbe,-11.2061,13.8437,25.39,89,100,1.69,AO,1699938237
349,freetown,8.484,-13.2299,25.77,90,7,1.8,SL,1699938237
350,la'ie,21.6477,-157.9253,25.56,75,52,4.02,US,1699938237
351,el abiodh sidi cheikh,32.893,0.5484,12.98,32,5,0.2,DZ,1699938237
352,dawesville,30.9224,-84.0091,15.2,80,40,2.06,US,1699938238
353,constitucion,-35.3333,-72.4167,10.64,78,15,7.24,CL,1699938043
354,rifle,39.5347,-107.7831,3.8,44,0,0.0,US,1699938238
355,ambodifotatra,-16.9833,49.85,24.82,80,60,2.0,MG,1699938238
356,kaihua,23.3687,104.28,15.13,93,100,2.81,CN,1699938238
357,ambon,-3.6954,128.1814,32.08,62,40,4.12,ID,1699938089
358,malakal,9.5334,31.6605,26.88,67,47,1.26,SS,1699938238
359,pisco,-13.7,-76.2167,18.34,88,5,0.0,PE,1699938239
360,atherton,53.5237,-2.4935,11.05,91,64,0.89,GB,1699938239
